,챔피언,게임 결과,게임 시간,소환사 주문1,소환사 주문2,메인 룬,보조 룬,KDA,평점,레벨,CS,분당 CS,킬관여,아이템1,아이템2,아이템3,아이템4,아이템5,아이템6
127,이즈리얼,승리,16분 46초,회복,점멸,치명적 속도,영감,4/2/4,4.00,9,111,6.6,53%,속도의 장화,마나무네,-,광휘의 검,빙하의 장막,도란의 방패
128,이즈리얼,승리,18분 46초,회복,점멸,치명적 속도,영감,1/1/2,3.00,9,117,6.2,19%,명석함의 아이오니아 장화,마나무네,-,광휘의 검,사파이어 수정,도란의 검
129,이즈리얼,패배,23분 48초,회복,점멸,치명적 속도,영감,0/4/4,1.00,11,157,6.6,44%,명석함의 아이오니아 장화,마나무네,광휘의 검,탐식의 망치,단검,도란의 검
130,애쉬,승리,21분 12초,회복,점멸,치명적 속도,영감,0/0/5,6.00,11,161,7.6,28%,광전사의 군화,몰락한 왕의 검,충전형 물약,-,도란의 검,-
131,애쉬,패배,20분 13초,회복,점멸,치명적 속도,영감,1/1/2,3.00,10,164,8.1,27%,광전사의 군화,몰락한 왕의 검,제어 와드,열정의 검,단검,도란의 검
132,애쉬,승리,17분 10초,정화,점멸,치명적 속도,영감,2/0/7,10.80,9,113,6.6,64%,광전사의 군화,몰락한 왕의 검,열정의 검,-,-,-
133,이즈리얼,승리,22분 11초,회복,점멸,치명적 속도,영감,4/1/2,6.00,12,170,7.7,25%,명석함의 아이오니아 장화,무라마나,얼어붙은 건틀릿,롱소드,도란의 검,-
134,이즈리얼,패배,21분 10초,회복,점멸,정복자,영감,1/2/1,1.00,10,136,6.4,22%,명석함의 아이오니아 장화,마나무네,광휘의 검,롱소드,루비 수정,처형인의 대검
135,이즈리얼,패배,19분 4초,회복,점멸,정복자,영감,2/6/3,0.83,9,95,5.0,38%,속도의 장화,마나무네,제어 와드,얼어붙은 건틀릿,-,도란의 검
136,미스 포츈,승리,24분 56초,회복,점멸,집중 공격,마법,4/4/14,4.50,12,157,6.3,55%,광전사의 군화,정수 약탈자,-,무한의 대검,단검,도란의 검
137,이즈리얼,승리,23분 17초,회복,점멸,정복자,영감,6/2/11,8.50,12,106,4.6,55%,명석함의 아이오니아 장화,무라마나,얼어붙은 건틀릿,콜필드의 전투 망치,도란의 검,-
138,이즈리얼,승리,16분 3초,회복,점멸,정복자,영감,3/0/4,8.40,9,123,7.7,37%,명석함의 아이오니아 장화,마나무네,제어 와드,얼어붙은 건틀릿,도란의 검,-
139,애쉬,승리,22분 32초,회복,점멸,치명적 속도,마법,5/5/12,3.40,12,111,4.9,52%,광전사의 군화,몰락한 왕의 검,-,루난의 허리케인,도란의 검,-
140,이즈리얼,패배,32분 11초,회복,점멸,정복자,영감,5/7/12,2.43,14,218,6.8,52%,명석함의 아이오니아 장화,무라마나,얼어붙은 건틀릿,죽음의 무도,최후의 속삭임,처형인의 대검
141,애쉬,패배,27분 55초,회복,점멸,치명적 속도,마법,7/4/5,3.00,13,172,6.2,46%,광전사의 군화,몰락한 왕의 검,루난의 허리케인,B.F. 대검,곡괭이,민첩성의 망토
142,애쉬,패배,36분 28초,회복,점멸,치명적 속도,마법,9/6/22,5.17,17,237,6.5,84%,광전사의 군화,몰락한 왕의 검,루난의 허리케인,죽음의 무도,무한의 대검,롱소드
143,애쉬,패배,16분 41초,정화,점멸,치명적 속도,마법,4/3/5,3.00,10,101,6.1,75%,광전사의 군화,몰락한 왕의 검,-,단검,도란의 검,-
144,미스 포츈,승리,25분 27초,회복,점멸,집중 공격,마법,8/2/8,8.00,14,192,7.5,52%,광전사의 군화,정수 약탈자,마법무효화의 망토,무한의 대검,고속 연사포,처형인의 대검
145,아펠리오스,승리,21분 41초,회복,점멸,치명적 속도,마법,3/2/4,3.50,11,137,6.3,37%,광전사의 군화,무한의 대검,충전형 물약,루난의 허리케인,도란의 검,-
146,애쉬,패배,20분 10초,회복,점멸,치명적 속도,마법,1/6/4,0.83,9,93,4.6,45%,광전사의 군화,몰락한 왕의 검,-,도란의 검,-,-
147,애쉬,패배,19분 28초,회복,점멸,치명적 속도,마법,2/5/6,1.60,10,123,6.3,62%,광전사의 군화,몰락한 왕의 검,충전형 물약,도란의 검,-,-
148,애쉬,승리,19분 5초,회복,점멸,치명적 속도,마법,1/2/5,3.00,10,140,7.3,33%,광전사의 군화,몰락한 왕의 검,열정의 검,단검,도란의 검,-
149,애쉬,승리,39분 41초,회복,점멸,치명적 속도,마법,7/7/16,3.29,18,294,7.4,56%,광전사의 군화,몰락한 왕의 검,헤르메스의 시미터,루난의 허리케인,무한의 대검,흡혈의 낫
150,애쉬,패배,36분 3초,회복,점멸,치명적 속도,마법,7/10/13,2.00,16,177,4.9,69%,광전사의 군화,몰락한 왕의 검,수은 장식띠,최후의 속삭임,루난의 허리케인,흡혈의 낫
151,카르마,패배,24분 52초,점화,점멸,신비로운 유성,영감,2/5/9,2.20,10,37,1.5,69%,명석함의 아이오니아 장화,타곤 산의 방패,제어 와드,아테나의 부정한 성배,금지된 우상,에테르 환영
152,애쉬,승리,27분 38초,회복,점멸,치명적 속도,마법,4/2/12,8.00,14,193,7.0,38%,광전사의 군화,몰락한 왕의 검,수은 장식띠,루난의 허리케인,B.F. 대검,흡혈의 낫
153,애쉬,승리,15분 42초,회복,점멸,치명적 속도,마법,5/0/3,9.60,10,135,8.6,42%,광전사의 군화,몰락한 왕의 검,망가진 초시계,루난의 허리케인,도란의 검,-
154,라칸,패배,31분 20초,점화,점멸,수호자,정밀,7/6/13,3.33,13,37,1.2,71%,명석함의 아이오니아 장화,타곤 산의 방벽,슈렐리아의 몽상,초시계,지크의 융합,불타는 향로
155,이즈리얼,승리,33분 6초,회복,점멸,정복자,영감,8/5/9,3.40,15,218,6.6,47%,명석함의 아이오니아 장화,무라마나,수은 장식띠,얼어붙은 건틀릿,죽음의 무도,도란의 검
156,미스 포츈,패배,28분 39초,회복,점멸,집중 공격,마법,15/6/11,4.33,14,156,5.4,74%,광전사의 군화,정수 약탈자,수은 장식띠,무한의 대검,고속 연사포,-
157,미스 포츈,승리,20분 20초,회복,점멸,집중 공격,마법,5/0/7,14.40,12,168,8.3,41%,광전사의 군화,정수 약탈자,-,무한의 대검,도란의 검,-
158,이즈리얼,패배,33분 26초,회복,점멸,정복자,영감,9/8/9,2.25,15,209,6.3,50%,명석함의 아이오니아 장화,몰락한 왕의 검,무라마나,얼어붙은 건틀릿,죽음의 무도,처형인의 대검
159,이즈리얼,승리,22분 41초,회복,점멸,정복자,영감,3/4/13,4.00,12,127,5.6,55%,명석함의 아이오니아 장화,무라마나,-,광휘의 검,빙하의 장막,도란의 검
160,이즈리얼,패배,40분 30초,회복,점멸,정복자,영감,3/5/10,2.60,16,276,6.8,54%,명석함의 아이오니아 장화,몰락한 왕의 검,무라마나,얼어붙은 건틀릿,죽음의 무도,롱소드
161,이즈리얼,승리,26분 5초,회복,점멸,정복자,영감,6/2/10,8.00,14,161,6.2,55%,명석함의 아이오니아 장화,무라마나,얼어붙은 건틀릿,군단의 방패,콜필드의 전투 망치,도란의 검
162,미스 포츈,패배,42분 41초,회복,점멸,집중 공격,마법,8/12/11,1.58,17,208,4.9,43%,광전사의 군화,정수 약탈자,무한의 대검,유령 무희,필멸자의 운명,흡혈의 낫
163,이즈리얼,승리,21분 52초,회복,점멸,정복자,영감,3/1/5,8.00,12,168,7.7,33%,명석함의 아이오니아 장화,무라마나,얼어붙은 건틀릿,-,도란의 방패,-
164,미스 포츈,승리,32분 36초,회복,점멸,집중 공격,마법,10/1/7,17.00,16,239,7.3,65%,광전사의 군화,정수 약탈자,망가진 초시계,무한의 대검,유령 무희,도란의 검
