,champion,win,time,spell1,spell2,rune1,rune2,kill,death,assist,kda,lv,cs,cspm,kp,item1,item2,item3,item4,item5,item6
0,202,0,2131,7,4,8128,8200,2,7,8,1.43,15,254,7.2,40,3157,2420,0,0,0,0
1,202,1,1809,7,4,8128,8200,17,0,9,31.20,16,189,6.3,72,3009,3142,0,6692,3814,3094
2,145,1,1234,7,4,9923,8200,3,1,5,8.00,11,152,7.4,35,3006,6692,1043,1026,1037,1055
3,360,1,1706,7,4,8010,8100,1,5,26,5.40,14,169,5.9,71,3006,6673,3508,1038,1055,0
4,145,1,1356,7,4,9923,8200,4,0,8,14.40,12,177,7.8,41,3006,6692,1043,1052,1037,1055
5,202,0,1624,7,4,8128,8200,6,10,8,1.40,13,142,5.2,61,3009,3142,6692,1036,1036,0
6,360,0,1588,7,4,8010,8100,7,6,5,2.00,12,170,6.4,63,3009,6673,3072,3035,1018,0
7,145,0,2156,7,4,9923,8200,12,5,4,3.20,16,206,5.7,46,3006,6692,3157,3115,1058,1037
8,22,1,1918,7,4,8008,8300,4,7,9,1.86,14,156,4.9,28,3006,3124,3140,6673,3086,1037
9,202,0,1439,7,4,8128,8200,1,5,3,0.80,12,181,7.5,36,3009,6692,2055,3134,1037,0
10,202,1,1668,7,4,8128,8200,13,0,4,20.40,15,236,8.5,61,3009,3142,2055,6692,3814,3086
11,202,1,1767,7,4,8021,8300,7,3,9,5.33,15,167,5.7,43,3009,3031,3094,1038,1018,1042
12,202,1,1775,7,4,8021,8300,12,5,13,5.00,15,170,5.7,66,3009,3031,3140,3094,3095,1018
13,202,1,1779,7,4,8021,8300,6,2,8,7.00,15,198,6.7,47,3009,3031,3094,3095,1042,0
14,202,1,958,7,4,8021,8300,1,1,5,6.00,9,117,7.3,35,1001,3031,1042,1083,0,0
15,22,0,1602,7,4,8008,8300,2,10,5,0.70,12,145,5.4,64,3006,3153,2055,3085,1055,0
16,202,0,1608,7,4,8021,8300,3,8,10,1.62,12,170,6.3,68,3009,3031,2055,2031,3094,2015
17,202,1,1329,7,4,8021,8300,4,1,9,13.00,12,161,7.3,57,3009,3031,3094,1037,0,0
18,202,1,1286,7,4,8021,8300,6,0,8,16.80,12,144,6.7,45,3009,2031,0,3095,3094,1038
19,202,1,1271,7,4,8021,8300,9,1,14,23.00,12,129,6.1,62,3009,3095,2055,3094,1038,1037
