,챔피언,게임 결과,게임 시간,소환사 주문1,소환사 주문2,메인 룬,보조 룬,KDA,평점,레벨,CS,분당 CS,킬관여,아이템1,아이템2,아이템3,아이템4,아이템5,아이템6
0,그레이브즈,패배,32분 32초,강타,점멸,난입,정밀,4/7/8,1.71,15,31,1.0,67%,밤의 끝자락,망가진 초시계,-,맬모셔스의 아귀,마법 부여: 용사,헤르메스의 발걸음
1,릴리아,패배,16분 13초,강타,점멸,어둠의 수확,영감,2/4/1,0.75,11,19,1.2,50%,증폭의 고서,충전형 물약,제어 와드,기괴한 가면,마법 부여: 룬의 메아리,마법사의 신발
2,엘리스,패배,17분 13초,강타,점멸,감전,마법,3/7/1,0.57,9,8,0.5,40%,증폭의 고서,충전형 물약,루비 수정,-,마법 부여: 룬의 메아리,기동력의 장화
3,그레이브즈,승리,29분 36초,강타,점멸,난입,정밀,15/3/9,8.00,17,76,2.6,60%,죽음의 무도,요우무의 유령검,망가진 초시계,밤의 끝자락,마법 부여: 용사,신속의 장화
4,그레이브즈,승리,15분 29초,강타,점멸,난입,정밀,5/2/4,4.50,11,22,1.4,50%,천 갑옷,요우무의 유령검,충전형 물약,-,마법 부여: 용사,헤르메스의 발걸음
5,그레이브즈,패배,25분 9초,강타,점멸,난입,정밀,9/4/8,4.25,14,41,1.6,61%,처형인의 대검,죽음의 무도,제어 와드,밤의 끝자락,마법 부여: 용사,닌자의 신발
6,그레이브즈,승리,33분 8초,강타,점멸,난입,정밀,3/3/7,3.33,16,58,1.8,36%,밤의 끝자락,충전형 물약,제어 와드,맬모셔스의 아귀,마법 부여: 용사,헤르메스의 발걸음
7,리 신,패배,31분 4초,강타,점멸,정복자,영감,8/5/19,5.40,15,50,1.6,77%,수호 천사,군단의 방패,제어 와드,마법 부여: 용사,칠흑의 양날 도끼,헤르메스의 발걸음
8,그레이브즈,승리,24분 21초,강타,점멸,난입,정밀,5/4/10,3.75,14,51,2.1,60%,칠흑의 양날 도끼,충전형 물약,제어 와드,그림자 검,마법 부여: 용사,닌자의 신발
9,그레이브즈,승리,17분 49초,강타,점멸,난입,정밀,6/2/6,6.00,11,10,0.6,43%,톱날 단검,충전형 물약,-,롱소드,마법 부여: 용사,헤르메스의 발걸음
10,그레이브즈,패배,24분 46초,강타,점멸,난입,정밀,8/6/5,2.17,13,39,1.6,48%,군단의 방패,흡혈의 낫,제어 와드,맬모셔스의 아귀,마법 부여: 용사,헤르메스의 발걸음
11,세트,승리,32분 58초,점화,점멸,난입,영감,7/8/14,2.62,15,39,1.2,48%,제어 와드,가고일의 돌갑옷,화이트록의 갑옷,기사의 맹세,망자의 갑옷,신속의 장화
12,킨드레드,승리,29분 58초,강타,점멸,집중 공격,지배,5/4/11,4.00,16,45,1.5,42%,루난의 허리케인,-,제어 와드,칠흑의 양날 도끼,마법 부여: 용사,광전사의 군화
13,판테온,패배,27분 54초,점화,점멸,집중 공격,지배,7/8/9,2.00,13,64,2.3,76%,롱소드,요우무의 유령검,화이트록의 갑옷,밤의 끝자락,그림자 검,기동력의 장화
14,판테온,패배,32분 6초,점화,점멸,정복자,지배,5/9/9,1.56,12,48,1.5,50%,드락사르의 황혼검,톱날 단검,제어 와드,화이트록의 갑옷,그림자 검,기동력의 장화
15,레오나,패배,39분 23초,점화,점멸,여진,영감,6/7/20,3.71,15,39,1.0,62%,강철의 솔라리 펜던트,가고일의 돌갑옷,화이트록의 갑옷,지크의 융합,기사의 맹세,기동력의 장화
16,세트,패배,20분 30초,점화,점멸,난입,영감,1/4/4,1.25,9,24,1.2,56%,루비 수정,망자의 갑옷,제어 와드,화이트록의 갑옷,-,속도의 장화
17,세트,승리,28분 46초,점화,점멸,난입,영감,4/4/17,5.25,14,36,1.3,68%,망자의 갑옷,거인의 허리띠,화이트록의 갑옷,제어 와드,점화석,신속의 장화
18,판테온,패배,25분 47초,점화,점멸,집중 공격,지배,6/8/7,1.62,12,33,1.3,57%,톱날 단검,요우무의 유령검,화이트록의 갑옷,제어 와드,그림자 검,기동력의 장화
19,판테온,패배,25분 24초,점화,점멸,집중 공격,지배,4/7/7,1.57,10,37,1.5,73%,쇠사슬 조끼,망가진 초시계,룬 강철 어깨 갑옷,제어 와드,그림자 검,기동력의 장화
20,세트,승리,23분 7초,점화,점멸,난입,영감,5/4/14,4.75,11,31,1.3,49%,룬 강철 어깨 갑옷,점화석,제어 와드,기사의 맹세,망자의 갑옷,신속의 장화
21,판테온,패배,11분 26초,점화,점멸,집중 공격,지배,2/1/0,2.00,8,59,5.2,100%,드락사르의 황혼검,체력 물약,롱소드,롱소드,-,속도의 장화
22,쉔,승리,31분 8초,순간이동,점멸,착취의 손아귀,지배,4/1/9,13.00,16,173,5.6,52%,-,란두인의 예언,-,적응형 투구,태양불꽃 망토,헤르메스의 발걸음
23,판테온,승리,30분 30초,점화,점멸,집중 공격,지배,10/8/9,2.38,14,54,1.8,45%,그림자 검,요우무의 유령검,톱날 단검,화이트록의 갑옷,밤의 끝자락,기동력의 장화
24,엘리스,승리,21분 38초,강타,점멸,감전,마법,4/2/9,6.50,12,10,0.5,57%,충전형 물약,존야의 모래시계,방출의 마법봉,증폭의 고서,마법 부여: 룬의 메아리,기동력의 장화
25,이블린,승리,25분 59초,강타,점멸,감전,영감,8/2/6,7.00,15,30,1.2,38%,메자이의 영혼약탈자,쓸데없이 큰 지팡이,제어 와드,리치베인,마법 부여: 룬의 메아리,마법사의 신발
26,아트록스,패배,37분 10초,순간이동,점멸,정복자,지배,1/9/3,0.44,15,188,5.1,17%,도란의 검,망령의 두건,점화석,죽음의 무도,칠흑의 양날 도끼,닌자의 신발
27,아칼리,승리,20분 35초,순간이동,점멸,정복자,지배,5/3/0,1.67,13,171,8.3,31%,-,마법공학 총검,체력 물약,-,리안드리의 고통,마법사의 신발
28,오른,패배,25분 5초,순간이동,점멸,착취의 손아귀,영감,4/5/6,2.00,14,164,6.5,56%,도란의 방패,루비 수정,덤불 조끼,심연의 지옥불 가면,대장간 불꽃 망토,닌자의 신발
29,오른,패배,34분 34초,순간이동,점멸,착취의 손아귀,영감,3/7/15,2.57,16,193,5.6,64%,군단의 방패,가고일의 돌갑옷,제어 와드,대장간 불꽃 망토,심연의 지옥불 가면,헤르메스의 발걸음
30,레넥톤,패배,22분 32초,순간이동,점멸,정복자,결의,0/7/3,0.43,13,158,7.0,27%,도란의 검,몰락한 왕의 검,충전형 물약,탐식의 망치,-,헤르메스의 발걸음
31,오른,승리,34분 52초,순간이동,점멸,봉인 풀린 주문서,결의,2/4/26,7.00,17,163,4.7,61%,가시 갑옷,가고일의 돌갑옷,-,심연의 지옥불 가면,대장간 불꽃 망토,닌자의 신발
32,레넥톤,패배,30분 22초,순간이동,점멸,정복자,결의,2/8/4,0.75,14,188,6.2,43%,흡혈의 낫,몰락한 왕의 검,군단의 방패,도란의 검,칠흑의 양날 도끼,닌자의 신발
33,아칼리,승리,15분 47초,순간이동,점멸,정복자,지배,2/2/3,2.50,11,123,7.8,20%,증폭의 고서,마법공학 총검,제어 와드,도란의 반지,방출의 마법봉,마법사의 신발
34,오른,패배,30분 41초,순간이동,점멸,착취의 손아귀,영감,7/9/11,2.00,15,136,4.4,72%,-,음전자 망토,얼어붙은 주먹,대장간 불꽃 망토,가시 갑옷,닌자의 신발
35,오른,승리,15분 38초,순간이동,점멸,착취의 손아귀,영감,3/1/5,8.00,11,88,5.6,32%,태양불꽃 망토,충전형 물약,천 갑옷,사파이어 수정,덤불 조끼,도란의 방패
36,카이사,패배,21분 34초,회복,점멸,칼날비,정밀,1/4/2,0.75,11,158,7.3,21%,곡괭이,충전형 물약,도란의 검,곡궁,마나무네,광전사의 군화
37,애쉬,승리,27분 18초,회복,점멸,치명적 속도,영감,7/2/6,6.50,15,177,6.5,41%,-,몰락한 왕의 검,-,무한의 대검,루난의 허리케인,광전사의 군화
38,엘리스,패배,35분 33초,강타,점멸,감전,마법,7/11/5,1.09,14,28,0.8,50%,악마의 마법서,존야의 모래시계,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,기동력의 장화
39,애쉬,패배,16분 20초,회복,점멸,치명적 속도,영감,0/1/2,2.00,9,110,6.7,25%,체력 물약,몰락한 왕의 검,굳건한 의지의 완전한 비스킷,도란의 검,단검,속도의 장화
40,진,승리,29분 14초,회복,점멸,기민한 발놀림,마법,10/3/9,6.33,15,204,7.0,50%,도란의 검,초시계,무한의 대검,고속 연사포,폭풍갈퀴,신속의 장화
41,애쉬,승리,26분 57초,정화,점멸,치명적 속도,영감,4/6/8,2.00,15,213,7.9,39%,B.F. 대검,몰락한 왕의 검,수은 장식띠,도란의 검,루난의 허리케인,광전사의 군화
42,엘리스,패배,25분 36초,강타,점멸,감전,마법,7/6/5,2.00,11,22,0.9,80%,방출의 마법봉,존야의 모래시계,제어 와드,증폭의 고서,마법 부여: 룬의 메아리,기동력의 장화
43,신 짜오,패배,20분 58초,강타,점멸,칼날비,정밀,2/6/3,0.83,10,19,0.9,26%,단검,충전형 물약,제어 와드,탐식의 망치,마법 부여: 용사,기동력의 장화
44,엘리스,승리,34분 30초,강타,점멸,감전,마법,9/6/15,4.00,17,34,1.0,57%,방출의 마법봉,존야의 모래시계,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,기동력의 장화
45,엘리스,승리,20분 42초,강타,점멸,감전,마법,6/2/4,5.00,12,11,0.5,53%,-,충전형 물약,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,기동력의 장화
46,엘리스,승리,30분 38초,강타,점멸,감전,마법,8/3/16,8.00,15,33,1.1,51%,리안드리의 고통,존야의 모래시계,제어 와드,방출의 마법봉,마법 부여: 룬의 메아리,기동력의 장화
47,엘리스,승리,23분 42초,강타,점멸,감전,마법,6/0/10,Perfect,14,27,1.1,57%,리안드리의 고통,충전형 물약,제어 와드,망각의 구,마법 부여: 룬의 메아리,기동력의 장화
48,판테온,승리,24분 47초,점멸,점화,집중 공격,지배,7/3/17,8.00,13,33,1.3,71%,그림자 검,룬 강철 어깨 갑옷,톱날 단검,기동력의 장화,칠흑의 양날 도끼,곡괭이
49,세트,패배,31분 46초,점화,점멸,난입,영감,6/9/16,2.44,13,47,1.5,55%,화이트록의 갑옷,가고일의 돌갑옷,-,망자의 갑옷,신속의 장화,탐식의 망치
50,바드,승리,23분 38초,점화,점멸,수호자,지배,7/3/12,6.33,13,44,1.9,58%,타곤 산의 방벽,마법공학 초기형 벨트-01,슈렐리아의 몽상,제어 와드,아테나의 부정한 성배,신속의 장화
51,사미라,승리,21분 31초,정화,점멸,정복자,지배,5/4/7,3.00,12,153,7.1,50%,도란의 검,충전형 물약,B.F. 대검,흡혈의 낫,무한의 대검,광전사의 군화
52,블리츠크랭크,패배,26분 39초,점화,점멸,여진,영감,7/1/5,12.00,12,34,1.3,57%,기사의 맹세,초시계,제어 와드,화이트록의 갑옷,지크의 융합,기동력의 장화
53,쓰레쉬,승리,27분 4초,탈진,점멸,여진,영감,0/3/24,8.00,13,33,1.2,67%,지크의 융합,군단의 방패,화이트록의 갑옷,제어 와드,기사의 맹세,기동력의 장화
54,쓰레쉬,승리,26분 5초,점화,점멸,여진,영감,4/2/5,4.50,12,27,1.0,38%,군단의 방패,충전형 물약,화이트록의 갑옷,제어 와드,기사의 맹세,기동력의 장화
55,판테온,승리,36분 40초,점화,점멸,정복자,지배,11/7/12,3.29,16,56,1.5,62%,그림자 검,요우무의 유령검,화이트록의 갑옷,제어 와드,칠흑의 양날 도끼,헤르메스의 발걸음
56,리 신,패배,31분 27초,강타,점멸,정복자,영감,6/8/11,2.12,14,39,1.2,53%,처형인의 대검,스테락의 도전,제어 와드,칠흑의 양날 도끼,마법 부여: 용사,닌자의 신발
57,엘리스,승리,28분 44초,강타,점멸,감전,마법,7/4/8,3.75,15,22,0.8,58%,모렐로노미콘,망가진 초시계,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,기동력의 장화
58,엘리스,패배,31분 55초,강타,점멸,감전,마법,4/10/10,1.40,13,29,0.9,54%,방출의 마법봉,망가진 초시계,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,기동력의 장화
59,킨드레드,승리,34분 32초,강타,점멸,집중 공격,지배,4/5/11,3.00,18,23,0.7,37%,루난의 허리케인,필멸자의 운명,제어 와드,칠흑의 양날 도끼,마법 부여: 용사,광전사의 군화
60,리 신,패배,25분 15초,강타,점멸,정복자,영감,8/7/6,2.00,12,13,0.5,61%,콜필드의 전투 망치,흡혈의 낫,제어 와드,칠흑의 양날 도끼,마법 부여: 용사,헤르메스의 발걸음
61,엘리스,승리,16분 8초,강타,점멸,감전,마법,5/2/3,4.00,9,4,0.2,50%,증폭의 고서,충전형 물약,제어 와드,-,마법 부여: 룬의 메아리,기동력의 장화
62,엘리스,패배,24분 39초,강타,점멸,어둠의 수확,마법,1/9/3,0.44,11,18,0.7,21%,방출의 마법봉,충전형 물약,제어 와드,기괴한 가면,마법 부여: 룬의 메아리,기동력의 장화
