,챔피언,게임 결과,게임 시간,소환사 주문1,소환사 주문2,메인 룬,보조 룬,KDA,평점,레벨,CS,분당 CS,킬관여,아이템1,아이템2,아이템3,아이템4,아이템5,아이템6
1,이즈리얼,승리,29분 1초,회복,점멸,정복자,마법,14/3/9,7.67,16,190,6.5,55%,3158,3042,6632,3074,6694,1055
2,카이사,승리,33분 42초,회복,점멸,칼날비,마법,9/2/4,6.50,15,232,6.9,50%,3006,6692,3157,3115,3145,1037
3,진,승리,27분 38초,회복,점멸,어둠의 수확,마법,3/6/13,2.67,15,177,6.4,52%,3009,6692,0,3134,1037,3123
4,사미라,승리,37분 58초,회복,점멸,정복자,지배,5/8/17,2.75,17,217,5.7,54%,3006,6673,3072,3031,3086,1042
5,루시안,승리,22분 8초,회복,점멸,집중 공격,영감,9/2/11,10.00,13,140,6.3,59%,3006,6672,0,3508,3133,1055
6,진,승리,23분 4초,회복,점멸,어둠의 수확,마법,3/2/12,7.50,12,146,6.3,54%,3009,3142,2055,6692,1036,1036
7,미스 포츈,승리,22분 57초,회복,점멸,어둠의 수확,마법,11/1/8,19.00,12,152,6.6,63%,3006,6692,6676,3134,1037,0
8,진,패배,32분 57초,회복,점멸,어둠의 수확,마법,1/10/13,1.40,14,151,4.6,64%,3009,3142,2055,6692,3134,1037
9,진,승리,33분 39초,회복,점멸,어둠의 수확,마법,13/3/16,9.67,16,202,6.0,55%,3009,3142,6692,6676,3156,1038
10,사미라,패배,32분 50초,회복,점멸,정복자,지배,2/9/14,1.78,14,156,4.8,44%,3006,6673,3072,1037,1018,1055
11,사미라,패배,22분 35초,회복,점멸,정복자,지배,3/12/9,1.00,11,112,5.0,60%,3006,6673,2055,1018,1053,1055
12,진,승리,16분 7초,회복,점멸,어둠의 수확,마법,2/1/7,9.00,10,129,8.0,45%,3009,6692,2055,3134,0,0
13,진,승리,32분 29초,회복,점멸,어둠의 수확,마법,9/5/10,3.80,16,218,6.7,56%,3009,3142,6692,6676,3031,0
14,레오나,패배,34분 12초,점화,점멸,여진,영감,3/10/14,1.70,14,34,1.0,55%,3006,3860,3190,3050,0,0
15,진,패배,22분 0초,회복,점멸,어둠의 수확,마법,7/10/7,1.40,11,123,5.6,61%,3009,3142,0,6692,1036,1036
16,진,승리,20분 25초,회복,점멸,어둠의 수확,마법,4/3/6,3.33,12,163,8.0,38%,3009,2003,0,6692,3134,1037
17,미스 포츈,패배,18분 0초,회복,점멸,어둠의 수확,마법,0/6/3,0.50,9,148,8.2,27%,1001,2031,2055,6692,3134,1055
18,진,승리,31분 56초,회복,점멸,어둠의 수확,마법,10/1/14,24.00,18,227,7.1,71%,3009,3142,1033,3814,6692,3094
19,진,패배,38분 43초,회복,점멸,어둠의 수확,마법,6/6/12,3.00,15,232,6.0,46%,3009,3142,6692,3036,3155,3133
20,사미라,패배,16분 31초,회복,점멸,정복자,지배,5/10/4,0.90,8,61,3.7,60%,3006,6673,2055,1036,1055,0
