,champion,win,time,spell1,spell2,rune1,rune2,kill,death,assist,kda,lv,cs,cspm,kp,item1,item2,item3,item4,item5,item6
99,523,1,1275,7,4,8010,8200,7,5,9,3.20,11,149,7.0,44,3006,3031,3085,1042,1042,1055
100,523,0,1315,7,4,8010,8200,1,7,7,1.14,10,122,5.6,53,3006,3031,1018,1042,1042,1055
101,81,0,1288,7,4,8010,8300,2,2,3,2.50,11,147,6.8,28,3158,3004,3025,1036,1036,1054
102,523,1,1942,1,4,8010,8200,2,6,14,2.67,14,168,5.2,42,3006,3031,3085,3086,1042,2421
103,110,1,935,7,4,8229,8300,3,0,3,7.20,9,128,8.2,35,1001,3142,2033,2010,3179,0
104,523,0,1109,7,4,8010,8200,1,3,4,1.67,9,108,5.8,45,3006,2031,0,3031,1042,1055
105,498,0,2153,7,4,8008,8300,10,4,4,3.50,15,243,6.8,54,3006,3508,1038,3031,3046,3094
106,523,1,1731,1,4,8010,8200,12,1,8,20.00,14,193,6.7,61,3006,3031,2421,3085,3086,3123
107,81,0,1058,1,4,8010,8300,0,4,2,0.50,8,87,4.9,40,1001,3057,1037,3070,1027,1055
108,21,1,2296,7,4,8005,8200,14,9,22,4.00,18,206,5.4,68,3006,3508,2421,3031,3046,3036
109,110,0,1862,7,4,8229,8300,6,5,11,3.40,13,176,5.7,68,3158,3142,2033,3814,3179,1036
110,110,0,1832,7,4,8229,8300,1,6,7,1.33,13,172,5.6,29,3158,3142,3179,3134,1037,1028
111,81,1,2175,7,4,8010,8300,6,3,8,4.67,17,281,7.8,47,3158,3153,2421,3042,3025,3812
112,81,1,1744,7,4,8010,8300,7,3,14,7.00,14,180,6.2,70,3158,3042,3025,3812,1053,1036
113,21,1,1889,7,4,8005,8200,11,4,16,6.75,16,179,5.7,64,3006,3508,2055,3031,3046,3026
114,81,0,2034,7,4,8010,8300,9,4,7,4.00,15,232,6.8,64,3158,3153,2055,3042,3025,3812
115,110,0,2167,7,4,8229,8300,10,3,8,6.00,16,251,6.9,72,3158,3142,2420,3179,3814,3033
116,110,0,2015,1,4,8229,8300,6,4,7,3.25,15,220,6.6,54,3158,3142,2421,3179,3814,3123
117,110,1,927,7,4,8229,8300,5,0,6,13.20,9,106,6.9,58,3158,3179,2033,3134,1036,1036
118,110,1,1840,7,4,8229,8300,11,3,10,7.00,14,180,5.9,81,3158,3142,2033,3035,3179,3814
119,523,1,1832,7,4,8010,8200,10,2,8,9.00,15,174,5.7,39,3006,3031,3085,3046,3105,1054
120,110,1,2015,7,4,8229,8300,11,5,13,4.80,15,214,6.4,51,3158,3142,3179,3814,3026,3123
121,110,1,2380,7,4,8229,8300,4,0,6,12.00,17,246,6.2,34,3158,3142,3179,3814,3812,3123
122,110,1,2119,7,4,8229,8300,11,6,14,4.17,16,176,5.0,74,3158,3388,3179,3814,3026,1036
123,110,0,1520,7,4,8229,8300,8,7,3,1.57,11,150,5.9,55,3158,3142,2421,1038,1029,3179
124,110,0,1686,7,4,8229,8300,9,5,3,2.40,12,176,6.3,60,3158,1053,3140,3179,3814,3134
125,523,1,1739,7,4,8010,8200,3,4,4,1.75,14,175,6.0,28,1054,3123,3031,3006,3085,1053
126,81,0,1291,7,4,8010,8300,2,5,1,0.60,10,118,5.5,43,1055,3042,3025,3158,1036,0
127,84,0,1212,12,4,8010,8200,3,8,1,0.50,10,81,4.0,40,3191,3146,2031,0,0,1001
128,145,0,1176,7,4,9923,8000,0,3,1,0.33,9,108,5.5,25,1055,1042,3004,1042,1037,1001
129,523,0,1324,7,4,8010,8200,1,5,4,1.00,11,124,5.6,45,1055,3031,1042,3006,1018,0
130,21,1,1683,7,4,8128,8000,15,4,12,6.75,15,156,5.6,56,3179,3042,2421,3147,1038,3009
131,235,1,1918,21,4,8351,8000,4,8,17,2.62,14,18,0.6,51,1011,3814,3864,3179,3009,3052
132,115,0,1746,14,4,8229,8000,6,9,11,1.89,15,190,6.5,65,3165,3030,3157,3111,1056,3135
