,챔피언,게임 결과,게임 시간,소환사 주문1,소환사 주문2,메인 룬,보조 룬,KDA,평점,레벨,CS,분당 CS,킬관여,아이템1,아이템2,아이템3,아이템4,아이템5,아이템6
251,아펠리오스,패배,31분 1초,회복,점멸,정복자,마법,2/6/4,1.00,13,187,6.0,24%,광전사의 군화,무한의 대검,루난의 허리케인,B.F. 대검,롱소드,도란의 검
252,아펠리오스,승리,20분 22초,회복,점멸,정복자,마법,2/2/2,2.00,11,139,6.8,17%,광전사의 군화,무한의 대검,열정의 검,단검,단검,제어 와드
253,아펠리오스,패배,39분 10초,회복,점멸,정복자,마법,6/4/5,2.75,16,291,7.4,61%,광전사의 군화,무한의 대검,수은 장식띠,루난의 허리케인,유령 무희,B.F. 대검
254,브라움,승리,20분 10초,점화,점멸,수호자,영감,1/2/12,6.50,10,30,1.5,57%,헤르메스의 발걸음,화이트록의 갑옷,-,지크의 융합,쇠사슬 조끼,망가진 초시계
255,아펠리오스,승리,24분 2초,회복,점멸,정복자,마법,3/3/2,1.67,12,165,6.9,28%,광전사의 군화,무한의 대검,-,루난의 허리케인,도란의 검,-
256,아펠리오스,패배,28분 28초,회복,점멸,정복자,마법,1/4/5,1.50,13,210,7.4,60%,광전사의 군화,정수 약탈자,루난의 허리케인,롱소드,마법무효화의 망토,도란의 검
257,아펠리오스,승리,15분 37초,회복,점멸,정복자,마법,2/0/2,Perfect,9,132,8.5,40%,속도의 장화,정수 약탈자,-,-,도란의 검,-
258,아펠리오스,패배,17분 20초,회복,점멸,정복자,마법,0/2/0,0.00,8,118,6.8,0%,속도의 장화,정수 약탈자,제어 와드,단검,도란의 검,-
259,미스 포츈,승리,23분 9초,회복,점멸,집중 공격,마법,6/2/9,7.50,13,165,7.1,56%,광전사의 군화,정수 약탈자,무한의 대검,도란의 검,-,-
260,브라움,승리,30분 28초,탈진,점멸,수호자,영감,3/5/21,4.80,15,23,0.8,67%,신속의 장화,가고일의 돌갑옷,화이트록의 갑옷,강철의 솔라리 펜던트,제어 와드,마법무효화의 망토
261,브라움,승리,33분 8초,회복,점멸,수호자,영감,0/5/15,3.00,15,35,1.1,42%,신속의 장화,가고일의 돌갑옷,화이트록의 갑옷,-,지크의 융합,-
262,탐 켄치,패배,25분 33초,탈진,점멸,수호자,영감,2/3/7,3.00,12,139,5.4,82%,신속의 장화,가고일의 돌갑옷,제어 와드,망자의 갑옷,도란의 방패,-
263,미스 포츈,패배,26분 28초,회복,점멸,집중 공격,마법,3/9/12,1.67,12,134,5.1,52%,광전사의 군화,정수 약탈자,제어 와드,무한의 대검,도란의 검,-
264,미스 포츈,패배,26분 23초,정화,점멸,집중 공격,마법,4/9/8,1.33,13,156,5.9,41%,광전사의 군화,정수 약탈자,제어 와드,무한의 대검,단검,도란의 검
265,미스 포츈,패배,24분 49초,회복,점멸,집중 공격,마법,1/4/1,0.50,12,178,7.2,25%,광전사의 군화,정수 약탈자,-,곡괭이,도란의 검,-
266,미스 포츈,승리,28분 49초,회복,점멸,집중 공격,마법,9/1/6,15.00,15,190,6.6,45%,광전사의 군화,정수 약탈자,무한의 대검,B.F. 대검,롱소드,롱소드
267,미스 포츈,승리,25분 59초,회복,점멸,집중 공격,마법,14/2/12,13.00,14,185,7.1,68%,속도의 장화,정수 약탈자,무한의 대검,피바라기,단검,도란의 검
268,미스 포츈,패배,28분 56초,회복,점멸,집중 공격,마법,7/4/7,3.50,13,192,6.6,70%,광전사의 군화,정수 약탈자,제어 와드,무한의 대검,맬모셔스의 아귀,-
269,루시안,패배,38분 7초,회복,점멸,집중 공격,마법,8/15/14,1.47,17,190,5.0,43%,광전사의 군화,몰락한 왕의 검,정수 약탈자,고속 연사포,수호 천사,곡괭이
270,아펠리오스,패배,33분 23초,회복,점멸,정복자,마법,5/7/8,1.86,15,215,6.4,62%,광전사의 군화,정수 약탈자,-,루난의 허리케인,무한의 대검,롱소드
271,미스 포츈,승리,26분 59초,정화,점멸,집중 공격,마법,9/0/4,Perfect,15,187,6.9,48%,광전사의 군화,정수 약탈자,무한의 대검,B.F. 대검,흡혈의 낫,롱소드
272,미스 포츈,패배,16분 35초,정화,점멸,집중 공격,마법,1/2/1,1.00,8,99,6.0,33%,광전사의 군화,콜필드의 전투 망치,제어 와드,민첩성의 망토,도란의 검,-
273,미스 포츈,승리,30분 59초,회복,점멸,집중 공격,마법,7/1/7,14.00,15,230,7.4,35%,광전사의 군화,망가진 초시계,정수 약탈자,무한의 대검,피바라기,-
274,바루스,패배,15분 27초,회복,점멸,신비로운 유성,영감,1/6/2,0.50,8,93,6.0,75%,약간 신비한 장화,부패 물약,그림자 검,롱소드,롱소드,-
275,아펠리오스,패배,24분 58초,회복,점멸,정복자,마법,2/12/6,0.67,12,115,4.6,38%,광전사의 군화,정수 약탈자,열정의 검,단검,단검,도란의 검
276,아펠리오스,승리,35분 57초,회복,점멸,정복자,마법,4/9/17,2.33,16,187,5.2,55%,광전사의 군화,정수 약탈자,루난의 허리케인,무한의 대검,필멸자의 운명,-
277,아펠리오스,승리,29분 38초,회복,점멸,정복자,마법,5/5/11,3.20,14,159,5.4,46%,광전사의 군화,정수 약탈자,초시계,루난의 허리케인,B.F. 대검,곡괭이
278,아펠리오스,승리,28분 23초,회복,점멸,정복자,마법,7/1/16,23.00,15,179,6.3,66%,광전사의 군화,정수 약탈자,루난의 허리케인,B.F. 대검,곡괭이,도란의 검
279,카이사,패배,30분 22초,회복,점멸,칼날비,정밀,5/8/9,1.75,12,183,6.0,56%,광전사의 군화,무라마나,구인수의 격노검,내셔의 이빨,-,도란의 검
280,아펠리오스,패배,32분 7초,회복,점멸,정복자,마법,7/8/3,1.25,15,211,6.6,42%,광전사의 군화,정수 약탈자,무한의 용암 대검,루난의 허리케인,곡괭이,도란의 검
281,아펠리오스,승리,23분 34초,회복,점멸,정복자,마법,4/5/13,3.40,12,141,6.0,59%,광전사의 군화,정수 약탈자,B.F. 대검,곡괭이,민첩성의 망토,도란의 검
282,미스 포츈,승리,38분 7초,정화,점멸,집중 공격,마법,8/5/15,4.60,18,259,6.8,59%,광전사의 군화,정수 약탈자,무한의 대검,피바라기,수호 천사,민첩성의 망토
283,미스 포츈,승리,21분 1초,회복,점멸,집중 공격,마법,7/1/8,15.00,11,141,6.7,65%,광전사의 군화,정수 약탈자,-,무한의 대검,흡혈의 낫,도란의 검
284,미스 포츈,패배,21분 57초,회복,점멸,집중 공격,마법,3/2/0,1.50,11,186,8.5,38%,속도의 장화,충전형 물약,제어 와드,정수 약탈자,무한의 대검,도란의 검
285,미스 포츈,승리,20분 45초,회복,점멸,집중 공격,마법,6/2/7,6.50,11,143,6.9,76%,광전사의 군화,정수 약탈자,충전형 물약,무한의 대검,-,도란의 검
286,바루스,승리,35분 16초,정화,점멸,신비로운 유성,영감,6/10/8,1.40,15,174,4.9,31%,신속의 장화,요우무의 망령검,그림자 검,밤의 끝자락,톱날 단검,콜필드의 전투 망치
287,미스 포츈,승리,28분 37초,회복,점멸,집중 공격,마법,3/5/8,2.20,14,185,6.5,52%,광전사의 군화,정수 약탈자,-,무한의 대검,B.F. 대검,-
288,미스 포츈,승리,20분 53초,회복,점멸,집중 공격,마법,3/6/12,2.50,12,129,6.2,45%,광전사의 군화,정수 약탈자,제어 와드,B.F. 대검,곡괭이,도란의 검
289,카이사,패배,41분 7초,회복,점멸,집중 공격,마법,11/11/11,2.00,18,257,6.3,58%,광전사의 군화,무라마나,구인수의 격노검,내셔의 이빨,마법사의 최후,라바돈의 죽음모자
290,미스 포츈,패배,35분 36초,회복,점멸,집중 공격,마법,4/3/11,5.00,16,240,6.7,71%,광전사의 군화,정수 약탈자,무한의 대검,맬모셔스의 아귀,흡혈의 낫,롱소드
291,이즈리얼,패배,23분 20초,회복,점멸,치명적 속도,마법,1/7/3,0.57,12,149,6.4,31%,명석함의 아이오니아 장화,무라마나,광휘의 검,탐식의 망치,단검,도란의 검
292,미스 포츈,패배,16분 12초,회복,점멸,집중 공격,마법,3/4/5,2.00,9,89,5.5,80%,광전사의 군화,정수 약탈자,제어 와드,키르히아이스의 파편,도란의 검,-
293,이즈리얼,패배,29분 2초,회복,점멸,치명적 속도,마법,1/7/5,0.86,14,174,6.0,23%,명석함의 아이오니아 장화,빌지워터의 해적검,무라마나,얼어붙은 건틀릿,단검,도란의 검
294,미스 포츈,승리,37분 8초,회복,점멸,집중 공격,마법,6/7/19,3.57,17,233,6.3,57%,광전사의 군화,정수 약탈자,무한의 용암 대검,맬모셔스의 아귀,피바라기,-
