,champion,win,time,spell1,spell2,rune1,rune2,kill,death,assist,kda,lv,cs,cspm,kp,item1,item2,item3,item4,item5,item6
0,104,0,1952,11,4,8230,8000,4,7,8,1.71,15,31,1.0,67,3814,2421,0,3156,1412,3111
1,876,0,973,11,4,8128,8300,2,4,1,0.75,11,19,1.2,50,1052,2031,2055,3136,1402,3020
2,60,0,1033,11,4,8112,8200,3,7,1,0.57,9,8,0.5,40,1052,2031,1028,0,1402,3117
3,104,1,1776,11,4,8230,8000,15,3,9,8.00,17,76,2.6,60,3812,3142,2421,3814,1412,3009
4,104,1,929,11,4,8230,8000,5,2,4,4.50,11,22,1.4,50,1029,3142,2031,0,1412,3111
5,104,0,1509,11,4,8230,8000,9,4,8,4.25,14,41,1.6,61,3123,3812,2055,3814,1412,3047
6,104,1,1988,11,4,8230,8000,3,3,7,3.33,16,58,1.8,36,3814,2031,2055,3156,1412,3111
7,64,0,1864,11,4,8010,8300,8,5,19,5.40,15,50,1.6,77,3026,3105,2055,1412,3071,3111
8,104,1,1461,11,4,8230,8000,5,4,10,3.75,14,51,2.1,60,3071,2031,2055,3179,1412,3047
9,104,1,1069,11,4,8230,8000,6,2,6,6.00,11,10,0.6,43,3134,2031,0,1036,1412,3111
10,104,0,1486,11,4,8230,8000,8,6,5,2.17,13,39,1.6,48,3105,1053,2055,3156,1412,3111
11,875,1,1978,14,4,8230,8300,7,8,14,2.62,15,39,1.2,48,2055,3193,3857,3109,3742,3009
12,203,1,1798,11,4,8005,8100,5,4,11,4.00,16,45,1.5,42,3085,0,2055,3071,1412,3006
13,80,0,1674,14,4,8005,8100,7,8,9,2.00,13,64,2.3,76,1036,3142,3857,3814,3179,3117
14,80,0,1926,14,4,8010,8100,5,9,9,1.56,12,48,1.5,50,3147,3134,2055,3857,3179,3117
15,89,0,2363,14,4,8439,8300,6,7,20,3.71,15,39,1.0,62,3190,3193,3857,3050,3109,3117
16,875,0,1230,14,4,8230,8300,1,4,4,1.25,9,24,1.2,56,1028,3742,2055,3857,0,1001
17,875,1,1726,14,4,8230,8300,4,4,17,5.25,14,36,1.3,68,3742,1011,3857,2055,3067,3009
18,80,0,1547,14,4,8005,8100,6,8,7,1.62,12,33,1.3,57,3134,3142,3857,2055,3179,3117
19,80,0,1524,14,4,8005,8100,4,7,7,1.57,10,37,1.5,73,1031,2421,3855,2055,3179,3117
20,875,1,1387,14,4,8230,8300,5,4,14,4.75,11,31,1.3,49,3855,3067,2055,3109,3742,3009
21,80,0,686,14,4,8005,8100,2,1,0,2.00,8,59,5.2,100,3147,2003,1036,1036,0,1001
22,98,1,1868,12,4,8437,8100,4,1,9,13.00,16,173,5.6,52,0,3143,0,3194,3068,3111
23,80,1,1830,14,4,8005,8100,10,8,9,2.38,14,54,1.8,45,3179,3142,3134,3857,3814,3117
24,60,1,1298,11,4,8112,8200,4,2,9,6.50,12,10,0.5,57,2031,3157,1026,1052,1402,3117
25,28,1,1559,11,4,8112,8300,8,2,6,7.00,15,30,1.2,38,3041,1058,2055,3100,1402,3020
26,266,0,2230,12,4,8010,8100,1,9,3,0.44,15,188,5.1,17,1055,3211,3067,3812,3071,3047
27,84,1,1235,12,4,8010,8100,5,3,0,1.67,13,171,8.3,31,0,3146,2003,0,3151,3020
28,516,0,1505,12,4,8437,8300,4,5,6,2.00,14,164,6.5,56,1054,1028,3076,3379,3373,3047
29,516,0,2074,12,4,8437,8300,3,7,15,2.57,16,193,5.6,64,3105,3193,2055,3373,3379,3111
30,58,0,1352,12,4,8010,8400,0,7,3,0.43,13,158,7.0,27,1055,3153,2031,3044,0,3111
31,516,1,2092,12,4,8360,8400,2,4,26,7.00,17,163,4.7,61,3075,3193,0,3379,3373,3047
32,58,0,1822,12,4,8010,8400,2,8,4,0.75,14,188,6.2,43,1053,3153,3105,1055,3071,3047
33,84,1,947,12,4,8010,8100,2,2,3,2.50,11,123,7.8,20,1052,3146,2055,1056,1026,3020
34,516,0,1841,12,4,8437,8300,7,9,11,2.00,15,136,4.4,72,0,1057,3387,3373,3075,3047
35,516,1,938,12,4,8437,8300,3,1,5,8.00,11,88,5.6,32,3068,2031,1029,1027,3076,1054
36,145,0,1294,7,4,9923,8000,1,4,2,0.75,11,158,7.3,21,1037,2031,1055,1043,3004,3006
37,22,1,1638,7,4,8008,8300,7,2,6,6.50,15,177,6.5,41,0,3153,0,3031,3085,3006
38,60,0,2133,11,4,8112,8200,7,11,5,1.09,14,28,0.8,50,3108,3157,2055,3151,1402,3117
39,22,0,980,7,4,8008,8300,0,1,2,2.00,9,110,6.7,25,2003,3153,2010,1055,1042,1001
40,202,1,1754,7,4,8021,8200,10,3,9,6.33,15,204,7.0,50,1055,2420,3031,3094,3095,3009
41,22,1,1617,1,4,8008,8300,4,6,8,2.00,15,213,7.9,39,1038,3153,3140,1055,3085,3006
42,60,0,1536,11,4,8112,8200,7,6,5,2.00,11,22,0.9,80,1026,3157,2055,1052,1402,3117
43,5,0,1258,11,4,9923,8000,2,6,3,0.83,10,19,0.9,26,1042,2031,2055,3044,1412,3117
44,60,1,2070,11,4,8112,8200,9,6,15,4.00,17,34,1.0,57,1026,3157,2055,3151,1402,3117
45,60,1,1242,11,4,8112,8200,6,2,4,5.00,12,11,0.5,53,0,2031,2055,3151,1402,3117
46,60,1,1838,11,4,8112,8200,8,3,16,8.00,15,33,1.1,51,3151,3157,2055,1026,1402,3117
47,60,1,1422,11,4,8112,8200,6,0,10,19.20,14,27,1.1,57,3151,2031,2055,3916,1402,3117
48,80,1,1487,4,14,8005,8100,7,3,17,8.00,13,33,1.3,71,3179,3855,3134,3117,3071,1037
49,875,0,1906,14,4,8230,8300,6,9,16,2.44,13,47,1.5,55,3857,3193,0,3742,3009,3044
50,432,1,1418,14,4,8465,8100,7,3,12,6.33,13,44,1.9,58,3860,3152,2065,2055,3174,3009
51,360,1,1291,1,4,8010,8100,5,4,7,3.00,12,153,7.1,50,1055,2031,1038,1053,3031,3006
52,53,0,1599,14,4,8439,8300,7,1,5,12.00,12,34,1.3,57,3109,2420,2055,3857,3050,3117
53,412,1,1624,3,4,8439,8300,0,3,24,8.00,13,33,1.2,67,3050,3105,3857,2055,3109,3117
54,412,1,1565,14,4,8439,8300,4,2,5,4.50,12,27,1.0,38,3105,2031,3857,2055,3109,3117
55,80,1,2200,14,4,8010,8100,11,7,12,3.29,16,56,1.5,62,3179,3142,3857,2055,3071,3111
56,64,0,1887,11,4,8010,8300,6,8,11,2.12,14,39,1.2,53,3123,3053,2055,3071,1412,3047
57,60,1,1724,11,4,8112,8200,7,4,8,3.75,15,22,0.8,58,3165,2421,2055,3151,1402,3117
58,60,0,1915,11,4,8112,8200,4,10,10,1.40,13,29,0.9,54,1026,2421,2055,3151,1402,3117
59,203,1,2072,11,4,8005,8100,4,5,11,3.00,18,23,0.7,37,3085,3033,2055,3071,1412,3006
60,64,0,1515,11,4,8010,8300,8,7,6,2.00,12,13,0.5,61,3133,1053,2055,3071,1412,3111
61,60,1,968,11,4,8112,8200,5,2,3,4.00,9,4,0.2,50,1052,2031,2055,0,1402,3117
62,60,0,1479,11,4,8128,8200,1,9,3,0.44,11,18,0.7,21,1026,2031,2055,3136,1402,3117
63,60,0,1958,11,4,8128,8200,5,7,4,1.29,13,29,0.9,41,3151,2421,2055,3102,1402,3117
64,60,1,1556,11,4,8128,8200,7,4,7,3.50,14,10,0.4,50,3191,2421,2055,3151,1402,3117
65,64,1,1924,11,4,8010,8300,9,5,11,4.00,16,23,0.7,49,3812,3179,1028,3071,1412,3111
66,60,1,2222,11,4,8128,8300,7,3,19,8.67,18,52,1.4,60,3165,3157,0,3151,1402,3117
67,876,1,1645,11,4,8230,8100,3,4,12,3.75,15,35,1.3,65,3191,2421,2055,3151,1402,3047
68,203,0,2188,11,4,8005,8100,7,4,19,6.50,17,40,1.1,65,3033,3026,3086,3071,1412,3006
69,60,0,2132,11,4,8112,8200,9,5,6,3.00,14,32,0.9,65,3102,2421,2055,3151,1402,3020
70,64,1,1802,11,4,8010,8300,12,3,17,9.67,16,34,1.1,71,3123,3812,2055,3071,1412,3111
71,22,1,1141,7,4,8008,8300,3,4,6,2.25,11,129,6.8,24,1055,3153,1038,0,3133,2422
72,81,1,2052,7,4,8010,8300,17,4,12,7.25,17,221,6.5,67,3812,3144,3139,3025,3042,3158
73,22,0,2199,7,4,8021,8300,4,8,10,1.75,15,195,5.3,48,3085,3153,0,3508,1055,3006
74,203,0,2598,11,4,8005,8100,9,10,5,1.40,17,109,2.5,52,3033,3389,3026,3071,1412,3006
75,60,1,1378,11,4,8128,8300,2,1,10,12.00,12,15,0.7,41,1082,2031,0,3136,1402,3020
76,876,1,1426,11,4,8128,8200,11,3,10,7.00,15,56,2.4,60,3116,2031,2055,3151,1402,3047
77,92,0,1940,14,4,8010,8400,12,8,4,2.00,17,184,5.7,55,3053,3074,3508,3742,0,3158
78,91,0,1619,14,4,8112,8200,4,5,6,2.00,14,152,5.6,59,2031,3142,2055,3134,3147,3117
79,145,0,1575,7,4,9923,8000,4,4,3,1.75,13,221,8.4,47,1083,0,3115,3124,3042,3006
80,236,0,1971,7,4,8005,8200,3,5,3,1.20,16,250,7.6,26,1055,3031,1053,3042,3508,3111
81,145,0,1863,7,4,9923,8000,2,5,4,1.20,13,196,6.3,40,1055,3115,0,3124,3042,3006
82,235,0,1093,1,4,8351,8000,2,3,6,2.67,10,120,6.6,80,1055,3067,3044,1083,3004,3009
83,235,1,1717,7,4,8351,8000,7,4,9,4.00,15,167,5.8,47,3123,3142,1036,3094,3042,3009
84,236,0,1420,7,4,8005,8200,2,4,3,1.25,11,164,6.9,36,1055,1055,3067,3508,3004,1001
85,67,1,1860,7,4,8005,8200,6,7,10,2.29,15,167,5.4,43,3124,3153,0,3046,1054,3006
86,235,0,906,1,6,8437,8300,1,3,0,0.33,9,50,3.3,20,0,2003,2010,1028,3179,3009
87,60,0,1211,11,4,8128,8300,4,4,2,1.50,11,15,0.7,55,1026,2031,2055,3136,1402,3020
88,64,1,1845,11,4,8010,8300,10,7,8,2.57,16,43,1.4,60,3812,3052,2055,3071,1400,3047
