,챔피언,게임 결과,게임 시간,소환사 주문1,소환사 주문2,메인 룬,보조 룬,KDA,평점,레벨,CS,분당 CS,킬관여,아이템1,아이템2,아이템3,아이템4,아이템5,아이템6
1,퀸,승리,22분 58초,점화,점멸,집중 공격,마법,11/2/3,7.00,16,149,6.5,38%,1038,3095,1038,1055,3181,3006
2,레넥톤,패배,28분 10초,순간이동,점멸,집중 공격,결의,5/5/4,1.80,15,189,6.7,41%,3071,3153,1053,1055,3105,3111
3,루시안,패배,24분 9초,순간이동,점멸,집중 공격,영감,5/7/2,1.00,14,178,7.4,50%,1038,1055,3123,3004,3508,3006
4,레넥톤,승리,17분 1초,순간이동,점멸,집중 공격,결의,5/4/2,1.75,12,120,7.1,37%,1029,3153,2031,3067,1055,1001
5,루시안,승리,38분 21초,순간이동,점멸,집중 공격,영감,4/6/13,2.83,18,222,5.8,33%,1036,3153,3033,3004,3814,3006
6,오른,패배,24분 55초,순간이동,점멸,착취의 손아귀,영감,0/8/3,0.38,13,159,6.4,18%,1054,2033,3373,3076,1057,3111
7,에코,패배,31분 22초,강타,점멸,어둠의 수확,영감,9/8/9,2.25,15,51,1.6,64%,2055,3152,3157,3100,1402,3020
8,판테온,패배,26분 31초,점화,점멸,정복자,지배,7/9/6,1.44,11,35,1.3,57%,2055,3142,3140,3857,3179,3111
9,그레이브즈,승리,27분 6초,강타,점멸,난입,정밀,3/3/10,4.33,15,49,1.8,46%,3179,0,2055,3812,1412,3006
10,판테온,승리,37분 52초,점화,점멸,정복자,지배,4/8/13,2.12,14,54,1.4,57%,3179,3142,3857,2055,3033,3117
11,판테온,승리,30분 2초,점화,점멸,정복자,지배,5/6/12,2.83,14,51,1.7,53%,1037,3142,3857,3134,3179,3117
12,루시안,패배,31분 30초,순간이동,점멸,집중 공격,마법,5/11/9,1.27,15,166,5.3,48%,2033,3153,3140,1038,3156,3006
13,레넥톤,승리,30분 37초,순간이동,점멸,집중 공격,결의,4/8/11,1.88,17,174,5.7,39%,1053,3153,3105,3071,3065,3111
14,그레이브즈,승리,40분 11초,강타,점멸,난입,정밀,8/13/11,1.46,18,57,1.4,45%,3814,2421,3380,3179,1412,3111
15,그레이브즈,패배,26분 20초,강타,점멸,난입,정밀,1/7/10,1.57,13,35,1.3,42%,3155,3134,1037,0,1412,3006
16,렉사이,승리,29분 52초,강타,점멸,정복자,마법,3/5/7,2.00,14,19,0.6,40%,2031,2421,2055,3071,1400,3047
17,판테온,승리,21분 26초,점화,점멸,정복자,지배,6/4/6,3.00,10,28,1.3,39%,2031,3142,3155,3855,0,3117
18,판테온,승리,21분 11초,점화,점멸,정복자,지배,9/4/12,5.25,11,39,1.8,57%,2421,3142,1038,3857,3179,3117
19,파이크,패배,31분 9초,점화,점멸,여진,지배,6/8/9,1.88,12,36,1.2,60%,3814,3142,3857,3179,1011,3009
20,판테온,승리,18분 6초,점화,점멸,집중 공격,지배,4/3/10,4.67,9,20,1.1,61%,2031,3142,0,3855,3134,3117
