,챔피언,게임 결과,게임 시간,소환사 주문1,소환사 주문2,메인 룬,보조 룬,KDA,평점,레벨,CS,분당 CS,킬관여,아이템1,아이템2,아이템3,아이템4,아이템5,아이템6
1,제라스,패배,25분 24초,방어막,점멸,신비로운 유성,정밀,4/1/6,10.00,14,160,6.3,62%,6653,4628,1052,0,0,3020
2,루시안,패배,33분 59초,회복,점멸,집중 공격,마법,6/11/9,1.36,15,148,4.4,43%,6672,3508,6675,1042,1042,3047
3,제라스,패배,35분 34초,방어막,점멸,신비로운 유성,영감,0/9/14,1.56,15,50,1.4,56%,6653,3853,4628,0,0,3020
4,제라스,승리,33분 50초,방어막,점멸,신비로운 유성,영감,6/6/22,4.67,15,30,0.9,62%,6653,3157,3853,4628,0,3020
5,카직스,패배,30분 35초,강타,점멸,정복자,지배,8/9/11,2.11,13,17,0.6,66%,3142,0,0,6691,3814,3111
6,그레이브즈,승리,29분 13초,강타,점멸,기민한 발놀림,지배,13/8/8,2.62,16,67,2.3,50%,3134,1037,6691,6676,3071,3047
7,그레이브즈,패배,37분 46초,강타,점멸,기민한 발놀림,지배,8/10/7,1.50,17,67,1.8,54%,3142,3026,0,6676,6691,3111
8,그레이브즈,패배,21분 14초,강타,점멸,기민한 발놀림,지배,4/6/2,1.00,12,50,2.4,32%,2031,2055,6691,3134,1037,3047
9,마스터 이,패배,36분 7초,강타,점멸,칼날비,정밀,10/10/4,1.40,17,37,1.0,44%,3124,3026,2055,6691,3153,3047
10,그레이브즈,승리,36분 3초,강타,점멸,기민한 발놀림,지배,15/5/7,4.40,18,104,2.9,58%,3071,3036,3134,3814,6692,3047
11,카직스,승리,24분 22초,강타,점멸,정복자,지배,15/2/4,9.50,15,13,0.5,51%,3142,1036,0,6691,3814,3047
12,카직스,승리,21분 23초,강타,점멸,정복자,지배,10/2/11,10.50,13,9,0.4,64%,3134,1037,0,3179,6691,3047
13,제이스,승리,20분 53초,점화,점멸,감전,영감,8/1/8,16.00,13,131,6.3,48%,3142,2031,3134,1055,3179,3158
14,뽀삐,승리,40분 59초,순간이동,점멸,착취의 손아귀,영감,5/9/17,2.44,18,177,4.3,39%,3025,3068,3193,3076,3065,3047
15,케일,패배,23분 31초,순간이동,점멸,집중 공격,결의,0/8/3,0.38,13,146,6.2,21%,1052,3181,1037,1043,0,3047
16,케일,승리,31분 51초,순간이동,점멸,집중 공격,결의,9/3/4,4.33,17,211,6.6,43%,3181,3124,2421,3191,3115,3047
17,아리,패배,33분 24초,점화,점멸,빙결 강화,지배,6/11/2,0.73,15,132,4.0,50%,3905,3030,3157,0,0,3020
18,제라스,승리,15분 19초,방어막,점멸,신비로운 유성,영감,5/0/5,Perfect,11,97,6.3,43%,0,3285,2421,0,0,3020
19,루시안,패배,20분 51초,순간이동,점멸,집중 공격,영감,1/9/2,0.33,11,104,5.0,16%,3181,3123,0,0,0,3047
20,사미라,패배,26분 18초,회복,점멸,정복자,지배,3/8/3,0.75,12,130,4.9,29%,3508,1053,3123,1038,1036,3111
