,챔피언,게임 결과,게임 시간,소환사 주문1,소환사 주문2,메인 룬,보조 룬,KDA,평점,레벨,CS,분당 CS,킬관여,아이템1,아이템2,아이템3,아이템4,아이템5,아이템6
22,베이가,승리,22분 25초,순간이동,점멸,빙결 강화,지배,1/4/4,1.25,12,117,5.2,29%,악마의 마법서,충전형 물약,마법공학 GLP-800,증폭의 고서,-,마법사의 신발
23,사미라,패배,34분 4초,탈진,점멸,정복자,지배,15/9/4,2.11,17,212,6.2,66%,정수 약탈자,무한의 대검,B.F. 대검,유령 무희,피바라기,닌자의 신발
24,제라스,패배,41분 9초,방어막,점멸,신비로운 유성,지배,8/11/17,2.27,17,177,4.3,56%,루덴의 메아리,라바돈의 죽음모자,존야의 모래시계,모렐로노미콘,-,마법사의 신발
25,아리,패배,26분 9초,점화,점멸,감전,마법,2/4/0,0.50,12,128,4.9,18%,도란의 반지,루덴의 메아리,망가진 초시계,추적자의 팔목 보호대,-,마법사의 신발
26,아리,승리,15분 14초,순간이동,점멸,빙결 강화,지배,3/1/4,7.00,10,89,5.8,44%,-,부패 물약,마법공학 GLP-800,-,-,마법사의 신발
27,제라스,패배,32분 55초,방어막,점멸,콩콩이 소환,지배,7/6/5,2.00,15,139,4.2,41%,루덴의 메아리,방출의 마법봉,존야의 모래시계,망각의 구,-,마법사의 신발
28,세나,승리,37분 37초,회복,점멸,빙결 강화,정밀,5/9/15,2.22,15,161,4.3,42%,무라마나,칠흑의 양날 도끼,필멸자의 운명,루난의 허리케인,민첩성의 망토,신속의 장화
29,이즈리얼,패배,26분 53초,회복,점멸,정복자,영감,2/6/7,1.50,13,119,4.4,45%,무라마나,군단의 방패,얼어붙은 건틀릿,명석함의 아이오니아 장화,-,-
30,세나,패배,27분 31초,회복,점멸,빙결 강화,정밀,0/4/10,2.50,13,77,2.8,50%,탐식의 망치,무라마나,처형인의 대검,-,-,신속의 장화
31,루시안,승리,21분 50초,방어막,점멸,집중 공격,영감,7/2/2,4.50,13,128,5.9,25%,도란의 검,마나무네,정수 약탈자,처형인의 대검,단검,헤르메스의 발걸음
32,루시안,패배,15분 28초,탈진,점멸,집중 공격,영감,1/2/0,0.50,10,78,5.0,50%,도란의 방패,곡괭이,약간 신비한 장화,여신의 눈물,마법무효화의 망토,-
33,브랜드,패배,21분 26초,점화,점멸,어둠의 수확,마법,0/6/3,0.50,10,29,1.4,38%,리안드리의 고통,증폭의 고서,얼음 정수의 파편,-,-,속도의 장화
34,세나,패배,24분 55초,회복,점멸,빙결 강화,마법,1/5/11,2.40,11,110,4.4,60%,마나무네,칠흑의 양날 도끼,롱소드,롱소드,-,신속의 장화
35,루시안,패배,14분 46초,회복,점멸,집중 공격,마법,1/3/1,0.67,7,33,2.2,50%,도란의 검,콜필드의 전투 망치,속도의 장화,민첩성의 망토,-,-
36,이즈리얼,승리,34분 6초,회복,점멸,정복자,영감,7/5/16,4.60,16,190,5.6,59%,무라마나,얼어붙은 건틀릿,죽음의 무도,맬모셔스의 아귀,처형인의 대검,명석함의 아이오니아 장화
37,이즈리얼,패배,27분 33초,회복,점멸,정복자,영감,2/7/4,0.86,12,134,4.9,29%,무라마나,얼어붙은 건틀릿,롱소드,마법무효화의 망토,-,명석함의 아이오니아 장화
38,루시안,승리,30분 32초,회복,점멸,집중 공격,마법,4/4/10,3.50,14,171,5.6,54%,정수 약탈자,망가진 초시계,몰락한 왕의 검,곡괭이,민첩성의 망토,닌자의 신발
39,이즈리얼,승리,34분 58초,회복,점멸,정복자,영감,5/2/7,6.00,15,190,5.4,44%,무라마나,얼어붙은 건틀릿,처형인의 대검,죽음의 무도,롱소드,명석함의 아이오니아 장화
40,이즈리얼,승리,31분 17초,회복,점멸,정복자,영감,4/2/11,7.50,14,101,3.2,47%,무라마나,얼어붙은 건틀릿,군단의 방패,롱소드,롱소드,명석함의 아이오니아 장화
41,카이사,패배,23분 37초,회복,점멸,칼날비,정밀,4/5/6,2.00,11,132,5.6,67%,도란의 검,정수 약탈자,곡궁,증폭의 고서,곡괭이,광전사의 군화
42,루시안,승리,34분 17초,회복,점멸,집중 공격,마법,4/3/6,3.33,16,130,3.8,26%,정수 약탈자,B.F. 대검,몰락한 왕의 검,-,-,닌자의 신발
43,세나,승리,20분 34초,회복,점멸,빙결 강화,정밀,1/0/2,Perfect,10,55,2.7,17%,마나무네,탐식의 망치,-,-,-,신속의 장화
44,세나,승리,31분 27초,회복,점멸,빙결 강화,정밀,7/5/11,3.60,16,125,4.0,49%,무라마나,칠흑의 양날 도끼,얼어붙은 망치,-,-,신속의 장화
45,세나,패배,27분 44초,회복,점멸,빙결 강화,정밀,2/3/9,3.67,12,94,3.4,79%,무라마나,칠흑의 양날 도끼,-,-,-,신속의 장화
46,세나,패배,26분 18초,회복,점멸,빙결 강화,정밀,3/9/11,1.56,12,152,5.8,56%,마나무네,칠흑의 양날 도끼,처형인의 대검,도란의 검,롱소드,신속의 장화
47,세나,승리,29분 30초,회복,점멸,빙결 강화,정밀,6/4/11,4.25,14,143,4.8,59%,무라마나,칠흑의 양날 도끼,필멸자의 운명,톱날 단검,루비 수정,신속의 장화
48,세나,승리,20분 31초,회복,점멸,빙결 강화,정밀,3/2/10,6.50,11,131,6.4,65%,마나무네,그림자 검,체력 물약,탐식의 망치,루비 수정,신속의 장화
49,세나,패배,16분 8초,회복,점멸,빙결 강화,정밀,1/2/0,0.50,9,94,5.8,20%,마나무네,톱날 단검,-,-,도란의 검,신속의 장화
50,세나,승리,38분 8초,회복,점멸,빙결 강화,정밀,4/13/29,2.54,17,133,3.5,58%,무라마나,칠흑의 양날 도끼,필멸자의 운명,요림의 주먹,거인의 허리띠,신속의 장화
51,세나,승리,28분 30초,회복,점멸,빙결 강화,정밀,1/1/12,13.00,15,175,6.1,39%,무라마나,칠흑의 양날 도끼,열정의 검,단검,도란의 검,신속의 장화
52,세나,승리,29분 0초,회복,점멸,빙결 강화,정밀,0/7/20,2.86,13,125,4.3,54%,무라마나,칠흑의 양날 도끼,열정의 검,단검,-,신속의 장화
53,세나,승리,26분 48초,회복,점멸,빙결 강화,정밀,11/1/14,25.00,14,150,5.6,66%,무라마나,고속 연사포,칠흑의 양날 도끼,필멸자의 운명,-,신속의 장화
54,세나,패배,15분 14초,탈진,점멸,착취의 손아귀,정밀,2/3/0,0.67,8,9,0.6,67%,요림의 주먹,해로윙 초승달낫,충전형 물약,루비 수정,-,신속의 장화
55,제라스,패배,43분 47초,탈진,점멸,신비로운 유성,영감,5/8/17,2.75,17,37,0.8,52%,루덴의 메아리,존야의 모래시계,얼음 정수의 파편,라바돈의 죽음모자,증폭의 고서,마법사의 신발
56,세나,승리,20분 36초,탈진,점멸,착취의 손아귀,정밀,1/3/11,4.00,10,16,0.8,55%,거인의 허리띠,-,해로윙 초승달낫,요림의 주먹,-,신속의 장화
57,아펠리오스,패배,19분 10초,회복,점멸,정복자,마법,1/6/3,0.67,10,90,4.7,80%,도란의 검,정수 약탈자,-,-,-,광전사의 군화
58,카이사,패배,26분 38초,회복,점멸,칼날비,정밀,5/8/5,1.25,13,164,6.2,45%,마나무네,구인수의 격노검,내셔의 이빨,-,-,광전사의 군화
59,아펠리오스,패배,27분 9초,회복,점멸,정복자,마법,5/8/3,1.00,13,161,5.9,38%,무한의 대검,정수 약탈자,단검,단검,-,광전사의 군화
60,아리,패배,39분 47초,방어막,점멸,감전,마법,2/5/6,1.60,17,212,5.3,36%,모렐로노미콘,루덴의 메아리,존야의 모래시계,마법무효화의 망토,악마의 마법서,마법사의 신발
61,아리,승리,23분 54초,방어막,점멸,감전,마법,8/2/7,7.50,14,123,5.1,48%,모렐로노미콘,루덴의 메아리,망가진 초시계,도란의 반지,추적자의 팔목 보호대,마법사의 신발
62,애니,패배,31분 5초,순간이동,점멸,감전,마법,10/8/5,1.88,15,141,4.5,48%,루덴의 메아리,모렐로노미콘,존야의 모래시계,증폭의 고서,-,마법사의 신발
63,카이사,승리,21분 47초,회복,점멸,칼날비,정밀,1/1/6,7.00,12,147,6.7,32%,마나무네,곡괭이,곡궁,-,도란의 검,광전사의 군화
64,이즈리얼,패배,19분 32초,회복,점멸,정복자,영감,0/5/1,0.20,10,121,6.2,14%,마나무네,제어 와드,체력 물약,도란의 방패,광휘의 검,명석함의 아이오니아 장화
65,아리,승리,18분 31초,방어막,점멸,감전,마법,4/2/2,3.00,12,125,6.8,30%,루덴의 메아리,도란의 반지,초시계,증폭의 고서,-,마법사의 신발
66,애쉬,패배,23분 7초,회복,점멸,치명적 속도,영감,1/9/5,0.67,10,100,4.3,32%,민첩성의 망토,정수 약탈자,단검,단검,단검,광전사의 군화
67,이즈리얼,패배,20분 17초,회복,점멸,정복자,영감,1/6/4,0.83,10,127,6.3,45%,마나무네,탐식의 망치,광휘의 검,도란의 방패,-,속도의 장화
68,루시안,승리,20분 55초,회복,점멸,집중 공격,영감,4/3/6,3.33,12,142,6.8,40%,B.F. 대검,롱소드,몰락한 왕의 검,민첩성의 망토,도란의 검,닌자의 신발
69,제라스,승리,20분 17초,탈진,점멸,신비로운 유성,영감,0/2/8,4.00,10,10,0.5,47%,방출의 마법봉,망가진 초시계,얼음 정수의 파편,사라진 양피지,-,마법사의 신발
70,루시안,패배,31분 24초,회복,점멸,집중 공격,영감,14/7/9,3.29,14,136,4.3,62%,죽음의 무도,정수 약탈자,맬모셔스의 아귀,곡괭이,B.F. 대검,광전사의 군화
71,루시안,승리,28분 2초,회복,점멸,집중 공격,영감,7/3/4,3.67,13,146,5.2,44%,도란의 검,정수 약탈자,몰락한 왕의 검,-,-,헤르메스의 발걸음
72,베이가,패배,24분 56초,순간이동,점멸,빙결 강화,마법,4/7/3,1.00,13,126,5.1,58%,방출의 마법봉,쌍둥이 그림자,마법공학 GLP-800,도란의 반지,루비 수정,마법사의 신발
73,아리,패배,19분 18초,방어막,점멸,감전,마법,0/2/5,2.50,11,91,4.7,50%,도란의 반지,-,-,사라진 양피지,방출의 마법봉,마법사의 신발
74,이즈리얼,패배,37분 35초,회복,점멸,정복자,영감,6/6/11,2.83,16,204,5.4,52%,무라마나,얼어붙은 건틀릿,몰락한 왕의 검,죽음의 무도,처형인의 대검,명석함의 아이오니아 장화
75,루시안,패배,31분 28초,회복,점멸,집중 공격,마법,1/6/1,0.33,12,141,4.5,17%,B.F. 대검,콜필드의 전투 망치,몰락한 왕의 검,-,-,헤르메스의 발걸음
76,이즈리얼,승리,25분 57초,회복,점멸,정복자,영감,8/4/15,5.75,15,160,6.2,57%,무라마나,삼위일체,군단의 방패,흡혈의 낫,롱소드,명석함의 아이오니아 장화
77,이즈리얼,패배,28분 1초,회복,점멸,정복자,영감,1/5/3,0.80,12,148,5.3,20%,무라마나,광휘의 검,주문포식자,탐식의 망치,단검,명석함의 아이오니아 장화
78,문도 박사,패배,20분 57초,순간이동,점멸,착취의 손아귀,영감,1/6/2,0.50,12,110,5.3,50%,태양불꽃 망토,덤불 조끼,-,-,-,닌자의 신발
79,코르키,승리,34분 16초,순간이동,점멸,기민한 발놀림,영감,9/9/15,2.67,17,175,5.1,48%,무라마나,삼위일체,망가진 초시계,무한의 대검,-,마법사의 신발
80,아리,승리,29분 33초,탈진,점멸,감전,마법,7/3/9,5.33,15,125,4.2,55%,루덴의 메아리,존야의 모래시계,초시계,방출의 마법봉,-,마법사의 신발
81,이즈리얼,승리,22분 51초,회복,점멸,정복자,영감,4/2/4,4.00,12,152,6.7,35%,도란의 검,얼어붙은 건틀릿,마나무네,-,-,명석함의 아이오니아 장화
82,이즈리얼,패배,19분 36초,회복,점멸,정복자,영감,2/6/0,0.33,10,126,6.4,33%,여신의 눈물,얼어붙은 건틀릿,곡괭이,명석함의 아이오니아 장화,-,-
83,니달리,패배,36분 26초,강타,점멸,감전,마법,6/6/3,1.50,16,55,1.5,32%,마법 부여: 룬의 메아리,모렐로노미콘,망가진 초시계,추적자의 팔목 보호대,리치베인,명석함의 아이오니아 장화
84,베이가,승리,23분 37초,회복,점멸,빙결 강화,마법,10/1/9,19.00,12,106,4.5,61%,도란의 반지,쌍둥이 그림자,마법공학 GLP-800,쓸데없이 큰 지팡이,쓸데없이 큰 지팡이,마법사의 신발
85,카직스,승리,30분 22초,강타,점멸,감전,마법,6/5/5,2.20,14,24,0.8,58%,-,맬모셔스의 아귀,-,마법 부여: 용사,드락사르의 황혼검,헤르메스의 발걸음
86,카직스,패배,27분 12초,강타,점멸,감전,마법,8/5/4,2.40,13,22,0.8,50%,롱소드,마법 부여: 용사,제어 와드,그림자 검,드락사르의 황혼검,닌자의 신발
87,카직스,승리,27분 18초,강타,점멸,감전,마법,14/2/11,12.50,16,50,1.8,58%,밤의 끝자락,맬모셔스의 아귀,제어 와드,드락사르의 황혼검,마법 부여: 용사,신속의 장화
88,카직스,승리,20분 15초,강타,점멸,감전,마법,7/3/10,5.67,13,27,1.3,65%,-,톱날 단검,-,드락사르의 황혼검,마법 부여: 용사,닌자의 신발
89,카직스,승리,24분 2초,강타,점멸,감전,마법,9/1/8,17.00,13,26,1.1,74%,콜필드의 전투 망치,주문포식자,-,드락사르의 황혼검,마법 부여: 용사,기동력의 장화
90,카직스,승리,22분 4초,강타,점멸,감전,마법,9/2/7,8.00,13,22,1.0,48%,-,-,그림자 검,드락사르의 황혼검,마법 부여: 용사,기동력의 장화
91,카직스,패배,33분 19초,강타,점멸,감전,마법,10/7/7,2.43,16,51,1.5,52%,처형인의 대검,칠흑의 양날 도끼,제어 와드,마법 부여: 용사,드락사르의 황혼검,기동력의 장화
92,카직스,패배,24분 41초,강타,점멸,감전,마법,2/5/3,1.00,12,12,0.5,36%,-,-,제어 와드,드락사르의 황혼검,마법 부여: 용사,속도의 장화
93,카직스,승리,13분 2초,강타,점멸,감전,마법,7/3/3,3.33,9,8,0.6,59%,충전형 물약,-,-,마법 부여: 용사,속도의 장화,-
94,카직스,승리,26분 0초,강타,점멸,감전,마법,16/6/2,3.00,15,30,1.2,51%,망가진 초시계,망가진 초시계,망가진 초시계,망가진 초시계,망가진 초시계,망가진 초시계
95,카직스,승리,22분 26초,강타,점멸,감전,마법,16/1/4,20.00,13,46,2.1,54%,-,톱날 단검,밤의 끝자락,마법 부여: 용사,드락사르의 황혼검,닌자의 신발
96,카직스,승리,24분 5초,강타,점멸,감전,마법,10/1/3,13.00,14,53,2.2,46%,롱소드,마법 부여: 용사,-,밤의 끝자락,드락사르의 황혼검,속도의 장화
97,카직스,승리,29분 34초,강타,점멸,감전,마법,14/4/3,4.25,16,30,1.0,39%,수호 천사,마법 부여: 용사,제어 와드,그림자 검,드락사르의 황혼검,기동력의 장화
98,카직스,승리,27분 2초,강타,점멸,감전,마법,7/3/4,3.67,14,25,0.9,50%,탐식의 망치,-,초시계,마법 부여: 용사,드락사르의 황혼검,닌자의 신발
99,이즈리얼,패배,24분 35초,회복,점멸,정복자,영감,6/6/2,1.33,13,140,5.7,57%,삼위일체,무라마나,흡혈의 낫,천 갑옷,마법무효화의 망토,명석함의 아이오니아 장화
100,애쉬,승리,22분 30초,회복,점멸,치명적 속도,영감,6/4/11,4.25,11,98,4.4,65%,루난의 허리케인,B.F. 대검,몰락한 왕의 검,-,-,광전사의 군화
101,카이사,승리,37분 40초,회복,점멸,정복자,영감,5/3/13,6.00,17,239,6.3,47%,무라마나,구인수의 격노검,내셔의 이빨,망각의 구,-,헤르메스의 발걸음
102,이즈리얼,승리,30분 12초,회복,점멸,정복자,영감,16/4/11,6.75,16,198,6.6,64%,삼위일체,무라마나,수은 장식띠,죽음의 무도,-,명석함의 아이오니아 장화
103,이즈리얼,패배,30분 54초,회복,점멸,정복자,영감,2/4/5,1.75,13,188,6.1,44%,삼위일체,무라마나,처형인의 대검,군단의 방패,-,명석함의 아이오니아 장화
