,champion,win,time,spell1,spell2,rune1,rune2,kill,death,assist,kda,lv,cs,cspm,kp,item1,item2,item3,item4,item5,item6
0,81,1,1741,7,4,8010,8200,14,3,9,7.67,16,190,6.5,55,3158,3042,6632,3074,6694,1055
1,145,1,2022,7,4,9923,8200,9,2,4,6.50,15,232,6.9,50,3006,6692,3157,3115,3145,1037
2,202,1,1658,7,4,8128,8200,3,6,13,2.67,15,177,6.4,52,3009,6692,0,3134,1037,3123
3,360,1,2278,7,4,8010,8100,5,8,17,2.75,17,217,5.7,54,3006,6673,3072,3031,3086,1042
4,236,1,1328,7,4,8005,8300,9,2,11,10.00,13,140,6.3,59,3006,6672,0,3508,3133,1055
5,202,1,1384,7,4,8128,8200,3,2,12,7.50,12,146,6.3,54,3009,3142,2055,6692,1036,1036
6,21,1,1377,7,4,8128,8200,11,1,8,19.00,12,152,6.6,63,3006,6692,6676,3134,1037,0
7,202,0,1977,7,4,8128,8200,1,10,13,1.40,14,151,4.6,64,3009,3142,2055,6692,3134,1037
8,202,1,2019,7,4,8128,8200,13,3,16,9.67,16,202,6.0,55,3009,3142,6692,6676,3156,1038
9,360,0,1970,7,4,8010,8100,2,9,14,1.78,14,156,4.8,44,3006,6673,3072,1037,1018,1055
10,360,0,1355,7,4,8010,8100,3,12,9,1.00,11,112,5.0,60,3006,6673,2055,1018,1053,1055
11,202,1,967,7,4,8128,8200,2,1,7,9.00,10,129,8.0,45,3009,6692,2055,3134,0,0
12,202,1,1949,7,4,8128,8200,9,5,10,3.80,16,218,6.7,56,3009,3142,6692,6676,3031,0
13,89,0,2052,14,4,8439,8300,3,10,14,1.70,14,34,1.0,55,3006,3860,3190,3050,0,0
14,202,0,1320,7,4,8128,8200,7,10,7,1.40,11,123,5.6,61,3009,3142,0,6692,1036,1036
15,202,1,1225,7,4,8128,8200,4,3,6,3.33,12,163,8.0,38,3009,2003,0,6692,3134,1037
16,21,0,1080,7,4,8128,8200,0,6,3,0.50,9,148,8.2,27,1001,2031,2055,6692,3134,1055
17,202,1,1916,7,4,8128,8200,10,1,14,24.00,18,227,7.1,71,3009,3142,1033,3814,6692,3094
18,202,0,2323,7,4,8128,8200,6,6,12,3.00,15,232,6.0,46,3009,3142,6692,3036,3155,3133
19,360,0,991,7,4,8010,8100,5,10,4,0.90,8,61,3.7,60,3006,6673,2055,1036,1055,0
