,champion,win,time,spell1,spell2,rune1,rune2,kill,death,assist,kda,lv,cs,cspm,kp,item1,item2,item3,item4,item5,item6
0,133,1,1378,14,4,8005,8200,11,2,3,7.00,16,149,6.5,38,1038,3095,1038,1055,3181,3006
1,58,0,1690,12,4,8005,8400,5,5,4,1.80,15,189,6.7,41,3071,3153,1053,1055,3105,3111
2,236,0,1449,12,4,8005,8300,5,7,2,1.00,14,178,7.4,50,1038,1055,3123,3004,3508,3006
3,58,1,1021,12,4,8005,8400,5,4,2,1.75,12,120,7.1,37,1029,3153,2031,3067,1055,1001
4,236,1,2301,12,4,8005,8300,4,6,13,2.83,18,222,5.8,33,1036,3153,3033,3004,3814,3006
5,516,0,1495,12,4,8437,8300,0,8,3,0.38,13,159,6.4,18,1054,2033,3373,3076,1057,3111
6,245,0,1882,11,4,8128,8300,9,8,9,2.25,15,51,1.6,64,2055,3152,3157,3100,1402,3020
7,80,0,1591,14,4,8010,8100,7,9,6,1.44,11,35,1.3,57,2055,3142,3140,3857,3179,3111
8,104,1,1626,11,4,8230,8000,3,3,10,4.33,15,49,1.8,46,3179,0,2055,3812,1412,3006
9,80,1,2272,14,4,8010,8100,4,8,13,2.12,14,54,1.4,57,3179,3142,3857,2055,3033,3117
10,80,1,1802,14,4,8010,8100,5,6,12,2.83,14,51,1.7,53,1037,3142,3857,3134,3179,3117
11,236,0,1890,12,4,8005,8200,5,11,9,1.27,15,166,5.3,48,2033,3153,3140,1038,3156,3006
12,58,1,1837,12,4,8005,8400,4,8,11,1.88,17,174,5.7,39,1053,3153,3105,3071,3065,3111
13,104,1,2411,11,4,8230,8000,8,13,11,1.46,18,57,1.4,45,3814,2421,3380,3179,1412,3111
14,104,0,1580,11,4,8230,8000,1,7,10,1.57,13,35,1.3,42,3155,3134,1037,0,1412,3006
15,421,1,1792,11,4,8010,8200,3,5,7,2.00,14,19,0.6,40,2031,2421,2055,3071,1400,3047
16,80,1,1286,14,4,8010,8100,6,4,6,3.00,10,28,1.3,39,2031,3142,3155,3855,0,3117
17,80,1,1271,14,4,8010,8100,9,4,12,5.25,11,39,1.8,57,2421,3142,1038,3857,3179,3117
18,555,0,1869,14,4,8439,8100,6,8,9,1.88,12,36,1.2,60,3814,3142,3857,3179,1011,3009
19,80,1,1086,14,4,8005,8100,4,3,10,4.67,9,20,1.1,61,2031,3142,0,3855,3134,3117
