,챔피언,게임 결과,게임 시간,소환사 주문1,소환사 주문2,메인 룬,보조 룬,KDA,평점,레벨,CS,분당 CS,킬관여,아이템1,아이템2,아이템3,아이템4,아이템5,아이템6
1,쓰레쉬,승리,40분 11초,점화,점멸,여진,영감,3/5/33,7.20,17,47,1.2,73%,3109,3857,2065,2421,3117,3050
2,자르반 4세,패배,39분 43초,점화,점멸,정복자,영감,1/7/17,2.57,15,54,1.4,69%,3111,3857,2420,3071,1036,3156
3,리 신,패배,15분 52초,점화,점멸,정복자,영감,1/3/1,0.67,8,23,1.4,33%,3044,3855,3047,1036,1036,2055
4,누누와 윌럼프,승리,31분 10초,점화,점멸,난입,정밀,3/4/20,5.75,15,83,2.7,48%,3152,3860,3157,3111,3065,0
5,누누와 윌럼프,패배,38분 55초,점화,점멸,난입,정밀,4/8/18,2.75,16,68,1.7,56%,3152,3860,3157,3009,3151,2055
6,갈리오,패배,25분 2초,점화,점멸,여진,마법,2/5/10,2.40,12,43,1.7,60%,3152,3860,2421,3047,3191,1052
7,소라카,패배,20분 37초,회복,점멸,콩콩이 소환,지배,4/2/3,3.50,8,20,1.0,70%,3117,3851,2065,3108,1082,1052
8,잔나,승리,27분 41초,점화,점멸,신비로운 유성,지배,0/1/14,14.00,12,17,0.6,74%,2065,3853,3117,3174,1082,1052
9,모르가나,승리,20분 0초,점화,점멸,신비로운 유성,영감,1/1/12,13.00,10,14,0.7,57%,3117,3853,3157,1033,0,0
10,모르가나,승리,38분 32초,점화,점멸,신비로운 유성,영감,1/4/22,5.75,15,44,1.1,52%,2065,3853,3157,3174,3117,0
11,모르가나,승리,21분 12초,점화,점멸,신비로운 유성,영감,5/3/10,5.00,10,23,1.1,50%,3117,3853,3157,3105,0,0
12,모르가나,패배,16분 12초,점화,점멸,신비로운 유성,영감,0/3/5,1.67,7,13,0.8,71%,3009,3851,2421,1029,3108,0
13,모르가나,승리,28분 36초,점화,점멸,신비로운 유성,영감,10/1/19,29.00,15,19,0.7,81%,3157,3853,3117,3174,3165,0
14,리 신,패배,26분 10초,점화,점멸,정복자,영감,2/7/8,1.43,11,30,1.1,50%,3071,3857,3133,3047,1036,2055
15,리 신,승리,21분 5초,점화,점멸,정복자,영감,7/1/6,13.00,11,42,2.0,52%,3047,3855,3071,1036,1036,1011
16,리 신,승리,27분 1초,점화,점멸,정복자,영감,1/2/13,7.00,12,34,1.3,42%,3111,3857,3071,3155,0,0
17,자르반 4세,승리,28분 26초,점화,점멸,정복자,영감,3/0/13,Perfect,12,36,1.3,53%,3071,3857,3047,3142,0,2055
18,블리츠크랭크,패배,21분 56초,점화,점멸,여진,영감,3/2/1,2.00,10,31,1.4,44%,3009,3855,3109,3105,0,0
19,리 신,패배,19분 14초,점화,점멸,정복자,영감,3/2/4,3.50,9,30,1.6,88%,3156,3859,3111,1036,1036,2055
