,champion,win,time,spell1,spell2,rune1,rune2,kill,death,assist,kda,lv,cs,cspm,kp,item1,item2,item3,item4,item5,item6
0,101,0,1524,21,4,8229,8000,4,1,6,10.00,14,160,6.3,62,6653,4628,1052,0,0,3020
1,236,0,2039,7,4,8005,8200,6,11,9,1.36,15,148,4.4,43,6672,3508,6675,1042,1042,3047
2,101,0,2134,21,4,8229,8300,0,9,14,1.56,15,50,1.4,56,6653,3853,4628,0,0,3020
3,101,1,2030,21,4,8229,8300,6,6,22,4.67,15,30,0.9,62,6653,3157,3853,4628,0,3020
4,121,0,1835,11,4,8010,8100,8,9,11,2.11,13,17,0.6,66,3142,0,0,6691,3814,3111
5,104,1,1753,11,4,8021,8100,13,8,8,2.62,16,67,2.3,50,3134,1037,6691,6676,3071,3047
6,104,0,2266,11,4,8021,8100,8,10,7,1.50,17,67,1.8,54,3142,3026,0,6676,6691,3111
7,104,0,1274,11,4,8021,8100,4,6,2,1.00,12,50,2.4,32,2031,2055,6691,3134,1037,3047
8,11,0,2167,11,4,9923,8000,10,10,4,1.40,17,37,1.0,44,3124,3026,2055,6691,3153,3047
9,104,1,2163,11,4,8021,8100,15,5,7,4.40,18,104,2.9,58,3071,3036,3134,3814,6692,3047
10,121,1,1462,11,4,8010,8100,15,2,4,9.50,15,13,0.5,51,3142,1036,0,6691,3814,3047
11,121,1,1283,11,4,8010,8100,10,2,11,10.50,13,9,0.4,64,3134,1037,0,3179,6691,3047
12,126,1,1253,14,4,8112,8300,8,1,8,16.00,13,131,6.3,48,3142,2031,3134,1055,3179,3158
13,78,1,2459,12,4,8437,8300,5,9,17,2.44,18,177,4.3,39,3025,3068,3193,3076,3065,3047
14,10,0,1411,12,4,8005,8400,0,8,3,0.38,13,146,6.2,21,1052,3181,1037,1043,0,3047
15,10,1,1911,12,4,8005,8400,9,3,4,4.33,17,211,6.6,43,3181,3124,2421,3191,3115,3047
16,103,0,2004,14,4,8351,8100,6,11,2,0.73,15,132,4.0,50,3905,3030,3157,0,0,3020
17,101,1,919,21,4,8229,8300,5,0,5,12.00,11,97,6.3,43,0,3285,2421,0,0,3020
18,236,0,1251,12,4,8005,8300,1,9,2,0.33,11,104,5.0,16,3181,3123,0,0,0,3047
19,360,0,1578,7,4,8010,8100,3,8,3,0.75,12,130,4.9,29,3508,1053,3123,1038,1036,3111
